# "template_data":{"template":{"wires":[{"source":[0,"output"],"target":[1,"data"]},{"source":[1,"output"],"target":[2,"data"]},{"source":[2,"output"],"target":[11,"data"]},{"source":[3,"output"],"target":[4,"data"]},{"source":[4,"output"],"target":[8,"data"]},{"source":[8,"output"],"target":[11,"backp"]},{"source":[5,"output"],"target":[6,"data"]},{"source":[6,"output"],"target":[7,"data"]},{"source":[7,"output"],"target":[11,"backm"]},{"source":[9,"output"],"target":[10,"data"]},{"source":[10,"output"],"target":[12,"data"]},{"source":[12,"output"],"target":[13,"data"]},{"source":[13,"output"],"target":[14,"base"]},{"source":[11,"output"],"target":[14,"data"]}],"modules":[{"config":{"intent":"scan","filelist":[{"path":"ncnrdata/magik/202001/24294/data/hw10624565.nxz.cgd","source":"ncnr","mtime":1579894725,"entries":["unpolarized"]}],"detector_correction":true,"monitor_correction":true,"base":"time"},"module":"ncnr.refl.super_load","title":"load spec","x":30,"y":10},{"module":"ncnr.refl.mask_points","y":10,"x":170,"title":"mask"},{"module":"ncnr.refl.join","y":10,"x":310,"title":"join","config":{"order":"none"}},{"module":"ncnr.refl.super_load","title":"load bg+","x":30,"y":50,"config":{"filelist":[{"path":"ncnrdata/magik/202001/24294/data/hw10624567.nxz.cgd","source":"ncnr","mtime":1579897806,"entries":["unpolarized"]},{"path":"ncnrdata/magik/202001/24294/data/hw10624578.nxz.cgd","source":"ncnr","mtime":1579908950,"entries":["unpolarized"]}],"detector_correction":true,"monitor_correction":true,"Qz_basis":"sample"}},{"module":"ncnr.refl.mask_points","y":50,"x":170,"title":"mask"},{"module":"ncnr.refl.super_load","title":"load bg-","x":30,"y":90,"config":{"filelist":[{"path":"ncnrdata/magik/202001/24294/data/hw10624566.nxz.cgd","source":"ncnr","mtime":1579896260,"entries":["unpolarized"]},{"path":"ncnrdata/magik/202001/24294/data/hw10624577.nxz.cgd","source":"ncnr","mtime":1579907403,"entries":["unpolarized"]}],"detector_correction":true,"monitor_correction":true,"Qz_basis":"sample"}},{"module":"ncnr.refl.mask_points","y":90,"x":170,"title":"mask"},{"module":"ncnr.refl.join","y":90,"x":310,"title":"join"},{"module":"ncnr.refl.join","y":50,"x":310,"title":"join"},{"config":{"intent":"intensity","filelist":[{"path":"ncnrdata/magik/202001/24294/data/hw10624571.nxz.cgd","source":"ncnr","mtime":1579898836,"entries":["unpolarized"]},{"path":"ncnrdata/magik/202001/24294/data/hw10624572.nxz.cgd","source":"ncnr","mtime":1579899522,"entries":["unpolarized"]},{"path":"ncnrdata/magik/202001/24294/data/hw10624561.nxz.cgd","source":"ncnr","mtime":1579888454,"entries":["unpolarized"]}],"detector_correction":true,"monitor_correction":true,"base":"time"},"module":"ncnr.refl.super_load","title":"load slit","x":30,"y":130},{"module":"ncnr.refl.mask_points","y":130,"x":170,"title":"mask"},{"module":"ncnr.refl.subtract_background","y":10,"x":455,"title":"sub bg"},{"module":"ncnr.refl.rescale","y":130,"x":310,"title":"rescale","config":{"scale":[17.164651543004876,381.1366799296779,1]}},{"module":"ncnr.refl.join","y":130,"x":455,"title":"join"},{"module":"ncnr.refl.divide_intensity","y":55,"x":600,"title":"divide"}]},"node":0,"terminal":"output","datasources":[{"url":"https://www.ncnr.nist.gov/pub/","name":"ncnr","start_path":"ncnrdata"}],"server_git_hash":"37403ccf75017ae5b53e2ebc8ae550d93116b567","server_mtime":"2020-02-13T14:39:47.000Z","instrument_id":"ncnr.refl"}
# "name": "hw10624565"
# "entry": "unpolarized"
# "polarization": ""
# "wavelength": 5.0
# "wavelength_resolution": 0.03500000014901161
# "columns": ["x", "v", "Qz", "Qz_target", "Qx", "angular_resolution", "sample/angle_x", "detector/counts", "detector/wavelength", "detector/angle_x", "monitor/counts", "monitor/count_time", "slit1/x", "slit2/x", "slit3/x", "slit4/x", "counter.liveMonitor", "counter.liveROI", "counter.liveTime", "counter.startTime", "counter.stopTime", "counter.timePreset", "detectorAngle.softPosition", "q.x", "q.z", "sampleAngle.softPosition", "slitAperture1.softPosition", "slitAperture2.softPosition", "slitAperture3.softPosition", "slitAperture4.softPosition", "trajectoryData._mon1", "trajectoryData._q"]
# "units": ["", "counts per second", "1/Ang", "1/Ang", "1/Ang", "degrees", "degrees", "counts", "Angstroms", "degrees", "counts", "seconds", "mm", "mm", "mm", "mm", "", "", "s", "s", "s", "s", "deg", "1/Ang", "1/Ang", "deg", "mm", "mm", "mm", "mm", "", ""]
x	v	Qz	Qz_target	Qx	angular_resolution	sample/angle_x	detector/counts	detector/wavelength	detector/angle_x	monitor/counts	monitor/count_time	slit1/x	slit2/x	slit3/x	slit4/x	counter.liveMonitor	counter.liveROI	counter.liveTime	counter.startTime	counter.stopTime	counter.timePreset	detectorAngle.softPosition	q.x	q.z	sampleAngle.softPosition	slitAperture1.softPosition	slitAperture2.softPosition	slitAperture3.softPosition	slitAperture4.softPosition	trajectoryData._mon1	trajectoryData._q
1.0619200000e+05	6.9618953926e+02	1.5001710504e-02	1.4999999665e-02	0.0000000000e+00	3.4419647418e-03	3.4180000424e-01	1.0540727481e+04	5.0000000000e+00	6.8400001526e-01	1.1468101545e+05	1.5140600204e+01	2.0160000026e-01	2.0270000398e-01	1.5846999884e+00	1.8625999689e+00	1.0619200000e+05	1.0477000000e+04	1.5140600204e+01	2.7608099365e+02	2.9155899048e+02	1.5140625000e+01	6.8400001526e-01	-5.2365844994e-08	1.5001709573e-02	3.4180000424e-01	2.0160000026e-01	2.0270000398e-01	1.5846999884e+00	1.8625999689e+00	1.2500000000e+03	1.4999999665e-02
1.0608200000e+05	3.0051900561e+02	1.5501759946e-02	1.5499999747e-02	0.0000000000e+00	3.5637067631e-03	3.5359999537e-01	4.5529230058e+03	5.0000000000e+00	7.0679998398e-01	1.1454694063e+05	1.5150199890e+01	2.0900000632e-01	2.0960000157e-01	1.5968999863e+00	1.8828999996e+00	1.0608200000e+05	4.5410000000e+03	1.5150199890e+01	2.9567599487e+02	3.1109201050e+02	1.5150156021e+01	7.0679998398e-01	5.4111350067e-08	1.5501759946e-02	3.5359999537e-01	2.0900000632e-01	2.0960000157e-01	1.5968999863e+00	1.8828999996e+00	1.2500000000e+03	1.5499999747e-02
1.0638000000e+05	1.8744367878e+02	1.6001811251e-02	1.6000000760e-02	0.0000000000e+00	3.6794885527e-03	3.6500000954e-01	2.8416461417e+03	5.0000000000e+00	7.2960001230e-01	1.1488853028e+05	1.5159999847e+01	2.1580000222e-01	2.1639999747e-01	1.6089999676e+00	1.9049999714e+00	1.0638000000e+05	2.8370000000e+03	1.5159999847e+01	3.1541299438e+02	3.3084298706e+02	1.5159999847e+01	7.2960001230e-01	5.5856855141e-08	1.6001811251e-02	3.6500000954e-01	2.1580000222e-01	2.1639999747e-01	1.6089999676e+00	1.9049999714e+00	1.2500000000e+03	1.6000000760e-02
1.0622700000e+05	1.3839867777e+02	1.6499668360e-02	1.6499999911e-02	7.4901407743e-08	3.7944191135e-03	3.7619999051e-01	2.0995356697e+03	5.0000000000e+00	7.5230002403e-01	1.1470393816e+05	1.5170200348e+01	2.2269999981e-01	2.2300000489e-01	1.6210999489e+00	1.9261000156e+00	1.0622700000e+05	2.0970000000e+03	1.5170200348e+01	3.3510299683e+02	3.5064898682e+02	1.5170155525e+01	7.5230002403e-01	1.4398675141e-08	1.6499666497e-02	3.7619999051e-01	2.2269999981e-01	2.2300000489e-01	1.6210999489e+00	1.9261000156e+00	1.2500000000e+03	1.6499999911e-02
1.0648500000e+05	1.1552694739e+02	1.6999715939e-02	1.7000000924e-02	-7.4901407743e-08	3.9059449919e-03	3.8740000129e-01	1.7537683968e+03	5.0000000000e+00	7.7509999275e-01	1.1499851301e+05	1.5180600166e+01	2.2890000045e-01	2.2990000248e-01	1.6332999468e+00	1.9479000568e+00	1.0648500000e+05	1.7520000000e+03	1.5180600166e+01	3.5506399536e+02	3.7049600220e+02	1.5180624962e+01	7.7509999275e-01	-4.4505149788e-08	1.6999715939e-02	3.8740000129e-01	2.2890000045e-01	2.2990000248e-01	1.6332999468e+00	1.9479000568e+00	1.2500000000e+03	1.7000000924e-02
1.0633500000e+05	1.0654088669e+02	1.7499763519e-02	1.7500000075e-02	0.0000000000e+00	4.0200236253e-03	3.9899998903e-01	1.6185051807e+03	5.0000000000e+00	7.9790002108e-01	1.1481707299e+05	1.5191399574e+01	2.3569999635e-01	2.3649999499e-01	1.6454999447e+00	1.9687999487e+00	1.0633500000e+05	1.6170000000e+03	1.5191399574e+01	3.7464099121e+02	3.9012200928e+02	1.5191406250e+01	7.9790002108e-01	1.5271425013e-08	1.7499763519e-02	3.9899998903e-01	2.3569999635e-01	2.3649999499e-01	1.6454999447e+00	1.9687999487e+00	1.2500000000e+03	1.7500000075e-02
1.0674900000e+05	1.0250909048e+02	1.8002005294e-02	1.7999999225e-02	7.4901407743e-08	4.1289953515e-03	4.1060000658e-01	1.5583944833e+03	5.0000000000e+00	8.2080000639e-01	1.1529316105e+05	1.5202500343e+01	2.4189999700e-01	2.4310000241e-01	1.6576000452e+00	1.9901000261e+00	1.0674900000e+05	1.5570000000e+03	1.5202500343e+01	3.9428298950e+02	4.0973098755e+02	1.5202500343e+01	8.2080000639e-01	6.2838850567e-08	1.8002005294e-02	4.1060000658e-01	2.4189999700e-01	2.4310000241e-01	1.6576000452e+00	1.9901000261e+00	1.2500000000e+03	1.7999999225e-02
1.0638500000e+05	1.0309068957e+02	1.8502051011e-02	1.8500000238e-02	0.0000000000e+00	4.2558452114e-03	4.2179998755e-01	1.5684114021e+03	5.0000000000e+00	8.4359997511e-01	1.1486181304e+05	1.5213899612e+01	2.4989999831e-01	2.5000000000e-01	1.6698000431e+00	2.0113999844e+00	1.0638500000e+05	1.5670000000e+03	1.5213899612e+01	4.1389199829e+02	4.2931201172e+02	1.5213906288e+01	8.4359997511e-01	1.6047971121e-20	1.8502051011e-02	4.2179998755e-01	2.4989999831e-01	2.5000000000e-01	1.6698000431e+00	2.0113999844e+00	1.2500000000e+03	1.8500000238e-02
1.0698100000e+05	1.1051275895e+02	1.9002098590e-02	1.8999999389e-02	7.4901407743e-08	4.3597081676e-03	4.3340000510e-01	1.6826230894e+03	5.0000000000e+00	8.6640000343e-01	1.1554976820e+05	1.5225600243e+01	2.5549998879e-01	2.5659999251e-01	1.6820000410e+00	2.0337998867e+00	1.0698100000e+05	1.6810000000e+03	1.5225600243e+01	4.3358200073e+02	4.4906399536e+02	1.5225625038e+01	8.6640000343e-01	6.6329832293e-08	1.9002096727e-02	4.3340000510e-01	2.5549998879e-01	2.5659999251e-01	1.6820000410e+00	2.0337998867e+00	1.2500000000e+03	1.8999999389e-02
1.0622100000e+05	1.1489632156e+02	1.9499950111e-02	1.9500000402e-02	1.4980281549e-07	4.4848555699e-03	4.4479998946e-01	1.7507557321e+03	5.0000000000e+00	8.8910001516e-01	1.1465641383e+05	1.5237700462e+01	2.6359999180e-01	2.6320001483e-01	1.6941000223e+00	2.0550999641e+00	1.0622100000e+05	1.7490000000e+03	1.5237700462e+01	4.5343200684e+02	4.6896701050e+02	1.5237656593e+01	8.8910001516e-01	8.5084579382e-08	1.9499950111e-02	4.4479998946e-01	2.6359999180e-01	2.6320001483e-01	1.6941000223e+00	2.0550999641e+00	1.2500000000e+03	1.9500000402e-02
1.0740800000e+05	1.2485736730e+02	1.9997799769e-02	1.9999999553e-02	0.0000000000e+00	4.5929756016e-03	4.5600000024e-01	1.9040748514e+03	5.0000000000e+00	9.1180002689e-01	1.1603313493e+05	1.5250000000e+01	2.6919999719e-01	2.7030000091e-01	1.7062000036e+00	2.0754001141e+00	1.0740800000e+05	1.9020000000e+03	1.5250000000e+01	4.7318499756e+02	4.8865399170e+02	1.5250000000e+01	9.1180002689e-01	3.4902747359e-08	1.9997801632e-02	4.5600000024e-01	2.6919999719e-01	2.7030000091e-01	1.7062000036e+00	2.0754001141e+00	1.2500000000e+03	1.9999999553e-02
1.0681600000e+05	1.3013790659e+02	2.0502233878e-02	2.0500000566e-02	-7.4901407743e-08	4.7172713093e-03	4.6720001101e-01	1.9862558374e+03	5.0000000000e+00	9.3480002880e-01	1.1533488410e+05	1.5262700081e+01	2.7720001340e-01	2.7689999342e-01	1.7184000015e+00	2.0975000858e+00	1.0681600000e+05	1.9840000000e+03	1.5262700081e+01	4.9277801514e+02	5.0819198608e+02	1.5262656212e+01	9.3480002880e-01	-7.1566283566e-08	2.0502230152e-02	4.6720001101e-01	2.7720001340e-01	2.7689999342e-01	1.7184000015e+00	2.0975000858e+00	1.2500000000e+03	2.0500000566e-02
1.0739700000e+05	1.3731135205e+02	2.1002275869e-02	2.0999999717e-02	0.0000000000e+00	4.8228367232e-03	4.7879999876e-01	2.0975133489e+03	5.0000000000e+00	9.5759999752e-01	1.1600468734e+05	1.5275600433e+01	2.8279998899e-01	2.8369998932e-01	1.7305999994e+00	2.1191000938e+00	1.0739700000e+05	2.0950000000e+03	1.5275600433e+01	5.1234100342e+02	5.2780902100e+02	1.5275625229e+01	9.5759999752e-01	0.0000000000e+00	2.1002274007e-02	4.7879999876e-01	2.8279998899e-01	2.8369998932e-01	1.7305999994e+00	2.1191000938e+00	1.2500000000e+03	2.0999999717e-02
1.0731800000e+05	1.4787966014e+02	2.1500123665e-02	2.1500000730e-02	1.4980281549e-07	4.9445782788e-03	4.9039998651e-01	2.2609173914e+03	5.0000000000e+00	9.8030000925e-01	1.1590444724e+05	1.5288900375e+01	2.9019999504e-01	2.9060000181e-01	1.7426999807e+00	2.1396999359e+00	1.0731800000e+05	2.2580000000e+03	1.5288900375e+01	5.3222198486e+02	5.4774798584e+02	1.5288906097e+01	9.8030000925e-01	9.3811983959e-08	2.1500121802e-02	4.9039998651e-01	2.9019999504e-01	2.9060000181e-01	1.7426999807e+00	2.1396999359e+00	1.2500000000e+03	2.1500000730e-02
