# "template_data":{"template":{"wires":[{"source":[0,"output"],"target":[1,"data"]},{"source":[1,"output"],"target":[2,"data"]},{"source":[2,"output"],"target":[11,"data"]},{"source":[3,"output"],"target":[4,"data"]},{"source":[4,"output"],"target":[8,"data"]},{"source":[8,"output"],"target":[11,"backp"]},{"source":[5,"output"],"target":[6,"data"]},{"source":[6,"output"],"target":[7,"data"]},{"source":[7,"output"],"target":[11,"backm"]},{"source":[9,"output"],"target":[10,"data"]},{"source":[10,"output"],"target":[12,"data"]},{"source":[12,"output"],"target":[13,"data"]},{"source":[13,"output"],"target":[14,"base"]},{"source":[11,"output"],"target":[14,"data"]}],"modules":[{"config":{"intent":"scan","filelist":[{"path":"ncnrdata/magik/202001/24294/data/hw10624565.nxz.cgd","source":"ncnr","mtime":1579894725,"entries":["unpolarized"]}],"detector_correction":true,"monitor_correction":true,"base":"time"},"module":"ncnr.refl.super_load","title":"load spec","x":30,"y":10},{"module":"ncnr.refl.mask_points","y":10,"x":170,"title":"mask"},{"module":"ncnr.refl.join","y":10,"x":310,"title":"join","config":{"order":"none"}},{"module":"ncnr.refl.super_load","title":"load bg+","x":30,"y":50,"config":{"filelist":[{"path":"ncnrdata/magik/202001/24294/data/hw10624567.nxz.cgd","source":"ncnr","mtime":1579897806,"entries":["unpolarized"]},{"path":"ncnrdata/magik/202001/24294/data/hw10624578.nxz.cgd","source":"ncnr","mtime":1579908950,"entries":["unpolarized"]}],"detector_correction":true,"monitor_correction":true,"Qz_basis":"sample"}},{"module":"ncnr.refl.mask_points","y":50,"x":170,"title":"mask"},{"module":"ncnr.refl.super_load","title":"load bg-","x":30,"y":90,"config":{"filelist":[{"path":"ncnrdata/magik/202001/24294/data/hw10624566.nxz.cgd","source":"ncnr","mtime":1579896260,"entries":["unpolarized"]},{"path":"ncnrdata/magik/202001/24294/data/hw10624577.nxz.cgd","source":"ncnr","mtime":1579907403,"entries":["unpolarized"]}],"detector_correction":true,"monitor_correction":true,"Qz_basis":"sample"}},{"module":"ncnr.refl.mask_points","y":90,"x":170,"title":"mask"},{"module":"ncnr.refl.join","y":90,"x":310,"title":"join"},{"module":"ncnr.refl.join","y":50,"x":310,"title":"join"},{"config":{"intent":"intensity","filelist":[{"path":"ncnrdata/magik/202001/24294/data/hw10624571.nxz.cgd","source":"ncnr","mtime":1579898836,"entries":["unpolarized"]},{"path":"ncnrdata/magik/202001/24294/data/hw10624572.nxz.cgd","source":"ncnr","mtime":1579899522,"entries":["unpolarized"]},{"path":"ncnrdata/magik/202001/24294/data/hw10624561.nxz.cgd","source":"ncnr","mtime":1579888454,"entries":["unpolarized"]}],"detector_correction":true,"monitor_correction":true,"base":"time"},"module":"ncnr.refl.super_load","title":"load slit","x":30,"y":130},{"module":"ncnr.refl.mask_points","y":130,"x":170,"title":"mask"},{"module":"ncnr.refl.subtract_background","y":10,"x":455,"title":"sub bg"},{"module":"ncnr.refl.rescale","y":130,"x":310,"title":"rescale","config":{"scale":[17.164651543004876,381.1366799296779,1]}},{"module":"ncnr.refl.join","y":130,"x":455,"title":"join"},{"module":"ncnr.refl.divide_intensity","y":55,"x":600,"title":"divide"}]},"node":0,"terminal":"output","datasources":[{"url":"https://www.ncnr.nist.gov/pub/","name":"ncnr","start_path":"ncnrdata"}],"server_git_hash":"37403ccf75017ae5b53e2ebc8ae550d93116b567","server_mtime":"2020-02-13T14:39:47.000Z","instrument_id":"ncnr.refl"}
# "name": "hw10624565"
# "entry": "unpolarized"
# "polarization": ""
# "wavelength": 5.0
# "wavelength_resolution": 0.03500000014901161
# "columns": ["x", "v", "Qz", "Qz_target", "Qx", "angular_resolution", "sample/angle_x", "detector/counts", "detector/wavelength", "detector/angle_x", "monitor/counts", "monitor/count_time", "slit1/x", "slit2/x", "slit3/x", "slit4/x", "counter.liveMonitor", "counter.liveROI", "counter.liveTime", "counter.startTime", "counter.stopTime", "counter.timePreset", "detectorAngle.softPosition", "q.x", "q.z", "sampleAngle.softPosition", "slitAperture1.softPosition", "slitAperture2.softPosition", "slitAperture3.softPosition", "slitAperture4.softPosition", "trajectoryData._mon1", "trajectoryData._q"]
# "units": ["", "counts per second", "1/Ang", "1/Ang", "1/Ang", "degrees", "degrees", "counts", "Angstroms", "degrees", "counts", "seconds", "mm", "mm", "mm", "mm", "", "", "s", "s", "s", "s", "deg", "1/Ang", "1/Ang", "deg", "mm", "mm", "mm", "mm", "", ""]
x	v	Qz	Qz_target	Qx	angular_resolution	sample/angle_x	detector/counts	detector/wavelength	detector/angle_x	monitor/counts	monitor/count_time	slit1/x	slit2/x	slit3/x	slit4/x	counter.liveMonitor	counter.liveROI	counter.liveTime	counter.startTime	counter.stopTime	counter.timePreset	detectorAngle.softPosition	q.x	q.z	sampleAngle.softPosition	slitAperture1.softPosition	slitAperture2.softPosition	slitAperture3.softPosition	slitAperture4.softPosition	trajectoryData._mon1	trajectoryData._q
1.0611400000e+05	8.2815661636e+02	8.0009466037e-03	8.0000003800e-03	0.0000000000e+00	1.8346360885e-03	1.8219999969e-01	1.2455475478e+04	5.0000000000e+00	3.6480000615e-01	1.1465130801e+05	1.5039999962e+01	1.0729999840e-01	1.0819999874e-01	1.4144999981e+00	1.5628999472e+00	1.0611400000e+05	1.2366000000e+04	1.5039999962e+01	3.4499999881e-01	1.6003999710e+01	1.5039999962e+01	3.6480000615e-01	-2.7928569679e-08	8.0009456724e-03	1.8219999969e-01	1.0729999840e-01	1.0819999874e-01	1.4144999981e+00	1.5628999472e+00	1.2500000000e+03	8.0000003800e-03
1.0480400000e+05	9.2207941439e+02	8.5010034963e-03	8.5000004619e-03	0.0000000000e+00	1.9487154204e-03	1.9400000572e-01	1.3872869526e+04	5.0000000000e+00	3.8760000467e-01	1.1312045232e+05	1.5045200348e+01	1.1410000175e-01	1.1479999870e-01	1.4266999960e+00	1.5838999748e+00	1.0480400000e+05	1.3762000000e+04	1.5045200348e+01	2.0274000168e+01	3.5833999634e+01	1.5045155525e+01	3.8760000467e-01	2.9674097846e-08	8.5010034963e-03	1.9400000572e-01	1.1410000175e-01	1.1479999870e-01	1.4266999960e+00	1.5838999748e+00	1.2500000000e+03	8.5000004619e-03
1.0508400000e+05	1.0375186186e+03	9.0010603890e-03	8.9999996126e-03	7.4901407743e-08	2.0713084377e-03	2.0540000498e-01	1.5615277775e+04	5.0000000000e+00	4.1040000319e-01	1.1344348299e+05	1.5050600052e+01	1.2160000205e-01	1.2169999629e-01	1.4387999773e+00	1.6050000191e+00	1.0508400000e+05	1.5475000000e+04	1.5050600052e+01	4.0187000275e+01	5.5712001801e+01	1.5050624847e+01	4.1040000319e-01	3.1419627788e-08	9.0010603890e-03	2.0540000498e-01	1.2160000205e-01	1.2169999629e-01	1.4387999773e+00	1.6050000191e+00	1.2500000000e+03	8.9999996126e-03
1.0547700000e+05	1.1477898322e+03	9.5011163503e-03	9.4999996945e-03	0.0000000000e+00	2.1751718596e-03	2.1660000086e-01	1.7281583173e+04	5.0000000000e+00	4.3320000172e-01	1.1389812841e+05	1.5056400299e+01	1.2720000744e-01	1.2829999626e-01	1.4509999752e+00	1.6268999577e+00	1.0547700000e+05	1.7110000000e+04	1.5056400299e+01	5.9941001892e+01	7.5436996460e+01	1.5056406021e+01	4.3320000172e-01	8.2409047904e-21	9.5011163503e-03	2.1660000086e-01	1.2720000744e-01	1.2829999626e-01	1.4509999752e+00	1.6268999577e+00	1.2500000000e+03	9.4999996945e-03
1.0550100000e+05	1.3022856531e+03	1.0001173243e-02	9.9999997765e-03	0.0000000000e+00	2.2994673345e-03	2.2820000350e-01	1.9615677650e+04	5.0000000000e+00	4.5600000024e-01	1.1392242998e+05	1.5062500000e+01	1.3519999385e-01	1.3490000367e-01	1.4631999731e+00	1.6482000351e+00	1.0550100000e+05	1.9395000000e+04	1.5062500000e+01	7.9662002563e+01	9.5094001770e+01	1.5062500000e+01	4.5600000024e-01	3.4910677016e-08	1.0001172312e-02	2.2820000350e-01	1.3519999385e-01	1.3490000367e-01	1.4631999731e+00	1.6482000351e+00	1.2500000000e+03	9.9999997765e-03
1.0553700000e+05	1.4140406253e+03	1.0501229204e-02	1.0499999858e-02	7.4901407743e-08	2.4058846757e-03	2.3960000277e-01	2.1308036932e+04	5.0000000000e+00	4.7879999876e-01	1.1396054278e+05	1.5068900108e+01	1.4079999924e-01	1.4180000126e-01	1.4752999544e+00	1.6687999964e+00	1.0553700000e+05	2.1048000000e+04	1.5068900108e+01	9.9239997864e+01	1.1466999817e+02	1.5068905830e+01	4.7879999876e-01	3.6656203406e-08	1.0501228273e-02	2.3960000277e-01	1.4079999924e-01	1.4180000126e-01	1.4752999544e+00	1.6687999964e+00	1.2500000000e+03	1.0499999858e-02
1.0621200000e+05	1.5684036659e+03	1.1001285166e-02	1.0999999940e-02	-7.4901407743e-08	2.5250720792e-03	2.5060001016e-01	2.3644625789e+04	5.0000000000e+00	5.0160002708e-01	1.1474389844e+05	1.5075599670e+01	1.4820000529e-01	1.4839999378e-01	1.4874000549e+00	1.6904000044e+00	1.0621200000e+05	2.3325000000e+04	1.5075599670e+01	1.1897799683e+02	1.3437899780e+02	1.5075625420e+01	5.0160002708e-01	-3.8401726243e-08	1.1001284234e-02	2.5060001016e-01	1.4820000529e-01	1.4839999378e-01	1.4874000549e+00	1.6904000044e+00	1.2500000000e+03	1.0999999940e-02
1.0570300000e+05	1.7061237184e+03	1.1501339264e-02	1.1500000022e-02	0.0000000000e+00	2.6306386571e-03	2.6219999790e-01	2.5732951825e+04	5.0000000000e+00	5.2439999580e-01	1.1414577371e+05	1.5082699776e+01	1.5379999578e-01	1.5520000458e-01	1.4996000528e+00	1.7120000124e+00	1.0570300000e+05	2.5355000000e+04	1.5082699776e+01	1.3863600159e+02	1.5413699341e+02	1.5082655907e+01	5.2439999580e-01	2.9927462417e-20	1.1501339264e-02	2.6219999790e-01	1.5379999578e-01	1.5520000458e-01	1.4996000528e+00	1.7120000124e+00	1.2500000000e+03	1.1500000022e-02
1.0557400000e+05	1.8650938452e+03	1.2001394294e-02	1.2000000104e-02	7.4901407743e-08	2.7557853609e-03	2.7379998565e-01	2.8144266408e+04	5.0000000000e+00	5.4720002413e-01	1.1399095929e+05	1.5090000153e+01	1.6189999878e-01	1.6179999709e-01	1.5118000507e+00	1.7340999842e+00	1.0557400000e+05	2.7693000000e+04	1.5090000153e+01	1.5835800171e+02	1.7388699341e+02	1.5090000153e+01	5.4720002413e-01	4.1892764813e-08	1.2001393363e-02	2.7379998565e-01	1.6189999878e-01	1.6179999709e-01	1.5118000507e+00	1.7340999842e+00	1.2500000000e+03	1.2000000104e-02
1.0593500000e+05	2.0086523328e+03	1.2501447462e-02	1.2500000186e-02	0.0000000000e+00	2.8622024693e-03	2.8499999642e-01	3.0326030563e+04	5.0000000000e+00	5.6999999285e-01	1.1440726150e+05	1.5097700119e+01	1.6750000417e-01	1.6869999468e-01	1.5239000320e+00	1.7548999786e+00	1.0593500000e+05	2.9803000000e+04	1.5097700119e+01	1.7803199768e+02	1.9347999573e+02	1.5097656250e+01	5.6999999285e-01	1.0843277198e-20	1.2501447462e-02	2.8499999642e-01	1.6750000417e-01	1.6869999468e-01	1.5239000320e+00	1.7548999786e+00	1.2500000000e+03	1.2500000186e-02
1.0540400000e+05	2.1923260728e+03	1.3001500629e-02	1.3000000268e-02	-7.4901407743e-08	2.9882008675e-03	2.9620000720e-01	3.3116401508e+04	5.0000000000e+00	5.9280002117e-01	1.1378344524e+05	1.5105600357e+01	1.7550000548e-01	1.7550000548e-01	1.5361000299e+00	1.7762000561e+00	1.0540400000e+05	3.2494000000e+04	1.5105600357e+01	1.9764100647e+02	2.1308700562e+02	1.5105625153e+01	5.9280002117e-01	-4.5383799829e-08	1.3001500629e-02	2.9620000720e-01	1.7550000548e-01	1.7550000548e-01	1.5361000299e+00	1.7762000561e+00	1.2500000000e+03	1.3000000268e-02
1.0610700000e+05	2.3528880409e+03	1.3501554728e-02	1.3500000350e-02	0.0000000000e+00	3.0946179759e-03	3.0779999495e-01	3.5561314995e+04	5.0000000000e+00	6.1559998989e-01	1.1459805847e+05	1.5113900185e+01	1.8109999597e-01	1.8240000308e-01	1.5482000113e+00	1.7980999947e+00	1.0610700000e+05	3.4845000000e+04	1.5113900185e+01	2.1737899780e+02	2.3276699829e+02	1.5113905907e+01	6.1559998989e-01	1.1710731166e-20	1.3501553796e-02	3.0779999495e-01	1.8109999597e-01	1.8240000308e-01	1.5482000113e+00	1.7980999947e+00	1.2500000000e+03	1.3500000350e-02
1.0575500000e+05	2.5011655467e+03	1.4001606964e-02	1.4000000432e-02	7.4901407743e-08	3.2138058450e-03	3.1940001249e-01	3.7823877030e+04	5.0000000000e+00	6.3840001822e-01	1.1418239894e+05	1.5122500420e+01	1.8850000203e-01	1.8899999559e-01	1.5604000092e+00	1.8188999891e+00	1.0575500000e+05	3.7015000000e+04	1.5122500420e+01	2.3689300537e+02	2.5227999878e+02	1.5122500420e+01	6.3840001822e-01	4.8874827741e-08	1.4001606032e-02	3.1940001249e-01	1.8850000203e-01	1.8899999559e-01	1.5604000092e+00	1.8188999891e+00	1.2500000000e+03	1.4000000432e-02
1.0626300000e+05	2.1837120298e+03	1.4501658268e-02	1.4499999583e-02	0.0000000000e+00	3.3329932485e-03	3.3059999347e-01	3.3042620445e+04	5.0000000000e+00	6.6119998693e-01	1.1476940748e+05	1.5131400108e+01	1.9539999962e-01	1.9609999657e-01	1.5724999905e+00	1.8400000334e+00	1.0626300000e+05	3.2424000000e+04	1.5131400108e+01	2.5643899536e+02	2.7185299683e+02	1.5131405830e+01	6.6119998693e-01	-3.7734551366e-20	1.4501658268e-02	3.3059999347e-01	1.9539999962e-01	1.9609999657e-01	1.5724999905e+00	1.8400000334e+00	1.2500000000e+03	1.4499999583e-02
