# bank1
# detector_index,center_wavelength,sigma_wavelength,efficiency_at_peak
5.300000000000000000e+01,4.053156932614739638e+00,1.831969579534025588e-02,1.233184344376764496e+00
5.200000000000000000e+01,4.093902975130154331e+00,1.917947239119199496e-02,1.251449215676728732e+00
5.100000000000000000e+01,4.137102910274492729e+00,2.032526237893532775e-02,1.290307446647108947e+00
5.000000000000000000e+01,4.183241682979500276e+00,2.122759225419362100e-02,1.335769230053642342e+00
4.900000000000000000e+01,4.227674321969417726e+00,2.084869493614624480e-02,1.236990830280654041e+00
4.800000000000000000e+01,4.269821366526577400e+00,2.034732050565485686e-02,1.567629038452270418e+00
4.700000000000000000e+01,4.317974860380831892e+00,1.850409086484758672e-02,1.417173923604889030e+00
4.600000000000000000e+01,4.361228689853391849e+00,1.957616333724798360e-02,1.447425528544526108e+00
4.500000000000000000e+01,4.405803641301767826e+00,2.012206959647033083e-02,1.463623894452961594e+00
4.400000000000000000e+01,4.449781807601873140e+00,1.739885370950235849e-02,1.310909494973655942e+00
4.300000000000000000e+01,4.494117560109835985e+00,1.816704474396904634e-02,1.165438577728741043e+00
4.200000000000000000e+01,4.534080715814510221e+00,1.757617498370397588e-02,1.245553768832539987e+00
4.100000000000000000e+01,4.573119197191259033e+00,1.770383267881838266e-02,1.204514757171468498e+00
4.000000000000000000e+01,4.616409992708288001e+00,1.993896912701390023e-02,1.349658012806845164e+00
3.900000000000000000e+01,4.664271909323899123e+00,1.590958880712076834e-02,1.106198742140313662e+00
3.800000000000000000e+01,4.701014349863625874e+00,1.627846111533640117e-02,1.232614969290180440e+00
3.700000000000000000e+01,4.740976653976105126e+00,1.757951369919177886e-02,1.259277842700995187e+00
3.600000000000000000e+01,4.781183488214898247e+00,2.045825796817477005e-02,1.269444270210526193e+00
3.500000000000000000e+01,4.820829595683143509e+00,2.039458885224874549e-02,1.221333209584461565e+00
3.400000000000000000e+01,4.856116444662933240e+00,1.824401203705379101e-02,8.634226495795042089e-01
3.300000000000000000e+01,4.892470130207859036e+00,3.035963643354138569e-02,8.752155184004021260e-01
3.200000000000000000e+01,4.909111759391126206e+00,1.939159474847310105e-02,1.378068519733516517e+00
3.100000000000000000e+01,4.982866588052164758e+00,1.758535552879183714e-02,1.079286084274128532e+00
3.000000000000000000e+01,5.018262017918893925e+00,1.771924155907550480e-02,1.070688196299726558e+00
2.900000000000000000e+01,5.056103653932766839e+00,1.476765629114300954e-02,8.159449604358193220e-01
2.800000000000000000e+01,5.089028787304450852e+00,1.721029148018691363e-02,9.101363047357268199e-01
2.700000000000000000e+01,5.122837251125077707e+00,2.025600407503959366e-02,1.072678934556706709e+00
2.600000000000000000e+01,5.169619387338054928e+00,1.701979042403235082e-02,8.972639838621397912e-01
2.500000000000000000e+01,5.205514836116115873e+00,1.561111347798873131e-02,8.157480951673941050e-01
2.400000000000000000e+01,5.239160297540974121e+00,1.768345548968149397e-02,1.171468991027536877e+00
2.300000000000000000e+01,5.280478270069114188e+00,1.565436402885025599e-02,8.294384964861438725e-01
2.200000000000000000e+01,5.309576978185021723e+00,2.084178071821714273e-02,9.939230951699993266e-01
2.100000000000000000e+01,5.345982192450573933e+00,2.157161157393931716e-02,1.042413705144185521e+00
2.000000000000000000e+01,5.380835491262778270e+00,1.747711721185295219e-02,7.959590998511362203e-01
1.900000000000000000e+01,5.414586295997805721e+00,1.775058293110695976e-02,1.092735459689681221e+00
1.800000000000000000e+01,5.447107468239694938e+00,1.781127050491278577e-02,8.808010325296620202e-01
1.700000000000000000e+01,5.482851240310765206e+00,1.596961388145267530e-02,1.061081682685445671e+00
1.600000000000000000e+01,5.519438421235904002e+00,1.411911437761318756e-02,8.814478697736122248e-01
1.500000000000000000e+01,5.550852783918089450e+00,1.533264884002535910e-02,9.270612540169020921e-01
1.400000000000000000e+01,5.582266211569390180e+00,1.401375985928434396e-02,7.238279892992266484e-01
1.300000000000000000e+01,5.610809708352902270e+00,1.429998463319305697e-02,7.133218535359747703e-01
1.200000000000000000e+01,5.642254332220031365e+00,1.669039058084495833e-02,9.997023824999136110e-01
1.100000000000000000e+01,5.678628942296934490e+00,1.321203761306783894e-02,6.312015220869447996e-01
1.000000000000000000e+01,5.704711515926256915e+00,1.705937263527005504e-02,9.138351890986471382e-01
9.000000000000000000e+00,5.738533676312133736e+00,1.363672524116153577e-02,7.004669600755720760e-01
8.000000000000000000e+00,5.762244677131882931e+00,1.149485362625432029e-02,3.949496324366051914e-01
7.000000000000000000e+00,5.786687666453551593e+00,1.376427827276681566e-02,7.111097927022149712e-01
6.000000000000000000e+00,5.832548425452722007e+00,2.308405703469824238e-02,2.317764252231521716e-01
5.000000000000000000e+00,5.829693153221241708e+00,1.792479274192132835e-02,9.484394819506923868e-01
4.000000000000000000e+00,5.883944827653539100e+00,1.082540430360412823e-02,4.680408043677862784e-01
3.000000000000000000e+00,5.902813759050986597e+00,1.006985769114139909e-02,3.735492886242846033e-01
2.000000000000000000e+00,5.939150279875191174e+00,1.979125089066745280e-02,3.228210787835219531e-01
1.000000000000000000e+00,5.936134122157864290e+00,1.979809988008238500e-02,9.661861350598288656e-01
0.000000000000000000e+00,5.990423915611886585e+00,1.507501156213542949e-02,8.374904333069956852e-01
