# bank0
# detector_index,center_wavelength,sigma_wavelength,efficiency_at_peak
5.300000000000000000e+01,4.057702266693187454e+00,2.070532300180024168e-02,1.384373982872493913e+00
5.200000000000000000e+01,4.103155296155239107e+00,1.922972015328765910e-02,1.124314965401354227e+00
5.100000000000000000e+01,4.144632950007296479e+00,2.024770750301229522e-02,1.310068379718152265e+00
5.000000000000000000e+01,4.193572249229676530e+00,2.209061352968916259e-02,1.318091676383741362e+00
4.900000000000000000e+01,4.236396114106049993e+00,2.188423616691679424e-02,1.161606977972943655e+00
4.800000000000000000e+01,4.276770133702236798e+00,2.147214913503589853e-02,1.538735772450392725e+00
4.700000000000000000e+01,4.324704903124002797e+00,2.110583329099146796e-02,1.401525264531961135e+00
4.600000000000000000e+01,4.367109065366849840e+00,2.143504128491544383e-02,1.446427983317478017e+00
4.500000000000000000e+01,4.412074837229069679e+00,2.135584772811054480e-02,1.411062619700191867e+00
4.400000000000000000e+01,4.454083406979964188e+00,2.092758093243838463e-02,1.335356497676355003e+00
4.300000000000000000e+01,4.499993291780591598e+00,1.889307173060191664e-02,9.621327200776277344e-01
4.200000000000000000e+01,4.536081421732829355e+00,2.189416951571085401e-02,1.401389351853309817e+00
4.100000000000000000e+01,4.581801347262451252e+00,2.439254750145446182e-02,1.288666586998942876e+00
4.000000000000000000e+01,4.620208503129117794e+00,2.162346134005956391e-02,1.103804611613941500e+00
3.900000000000000000e+01,4.668082836998681096e+00,1.969237919843521908e-02,1.291461144341260248e+00
3.800000000000000000e+01,4.709630173222137728e+00,1.834291215285642832e-02,1.278643387259145614e+00
3.700000000000000000e+01,4.750171124619954277e+00,1.938575935534011044e-02,1.352938613463946282e+00
3.600000000000000000e+01,4.795018508125733270e+00,2.130382136720233854e-02,9.649254982124008118e-01
3.500000000000000000e+01,4.824475331263956335e+00,1.861045580494360627e-02,1.227483719030261433e+00
3.400000000000000000e+01,4.866819520147772415e+00,1.952066874311803729e-02,7.483751508336028424e-01
3.300000000000000000e+01,4.897585879915272500e+00,2.016039976218130664e-02,1.370262789369683709e+00
3.200000000000000000e+01,4.948001436819776444e+00,1.966489433041271329e-02,1.187393093368497965e+00
3.100000000000000000e+01,4.988807415933874445e+00,1.755123469610095355e-02,8.653613444077047356e-01
3.000000000000000000e+01,5.024896602991257843e+00,1.956349310163744623e-02,1.147933472297653079e+00
2.900000000000000000e+01,5.063984790287605620e+00,1.922442515197289245e-02,9.602727272258836377e-01
2.800000000000000000e+01,5.100190850975278245e+00,1.872787120060235774e-02,7.662723968265159336e-01
2.700000000000000000e+01,5.126817389539247927e+00,2.191574929010827941e-02,1.092152559406565304e+00
2.600000000000000000e+01,5.172095636656655948e+00,1.703975566102493636e-02,8.789515268367223966e-01
2.500000000000000000e+01,5.209481507325911309e+00,1.730729885733475748e-02,9.545652345237272129e-01
2.400000000000000000e+01,5.245129198469062004e+00,1.803016771345548538e-02,1.108526821410640739e+00
2.300000000000000000e+01,5.283915429281451637e+00,1.707872559313522096e-02,1.076555094635285759e+00
2.200000000000000000e+01,5.322240529990140523e+00,1.696893685945933747e-02,9.062661342984471569e-01
2.100000000000000000e+01,5.354142798355757904e+00,1.618857714378492407e-02,9.161828984165275580e-01
2.000000000000000000e+01,5.387891865879370634e+00,1.412344905003365750e-02,6.432179977440207752e-01
1.900000000000000000e+01,5.418184559268512501e+00,1.753546251650164520e-02,9.386443487621705106e-01
1.800000000000000000e+01,5.452227501932265241e+00,1.618215055499115304e-02,8.592006684371513714e-01
1.700000000000000000e+01,5.485869125184148487e+00,1.786543790085948213e-02,1.018901198823858989e+00
1.600000000000000000e+01,5.520070042717225789e+00,1.880232145522414341e-02,9.818885542300467284e-01
1.500000000000000000e+01,5.555072365693125569e+00,1.468408605398370884e-02,7.984432339195802752e-01
1.400000000000000000e+01,5.582633103210778991e+00,1.367021828620577396e-02,5.725124732069092337e-01
1.300000000000000000e+01,5.611381696180269607e+00,1.940780547541276144e-02,1.067776999960005302e+00
1.200000000000000000e+01,5.652745059214758783e+00,1.580767725166279045e-02,8.189053926799286787e-01
1.100000000000000000e+01,5.678889367357335516e+00,1.295598258106564656e-02,5.005202654772312743e-01
1.000000000000000000e+01,5.707137893553460017e+00,1.636586273790844107e-02,9.559500291203748557e-01
9.000000000000000000e+00,5.743978886797434846e+00,1.318803847557447999e-02,6.014721072778167477e-01
8.000000000000000000e+00,5.767739193510952767e+00,1.438426881532628952e-02,5.350133306318471949e-01
7.000000000000000000e+00,5.794670568726256299e+00,1.485489852924900926e-02,7.107449062480534208e-01
6.000000000000000000e+00,5.825476467373232659e+00,1.373790284356075399e-02,5.142298406835597024e-01
5.000000000000000000e+00,5.852177925543984749e+00,1.359323495940389752e-02,5.244715254121791181e-01
4.000000000000000000e+00,5.881592640684421447e+00,1.613426687974662058e-02,7.632169831640019941e-01
3.000000000000000000e+00,5.910267487664569330e+00,1.365611519442684434e-02,5.095102954541321783e-01
2.000000000000000000e+00,5.936449425574340744e+00,1.544113697171039558e-02,7.621140549883613780e-01
1.000000000000000000e+00,5.970450717086137615e+00,1.867383186273242207e-02,6.891173831759140889e-01
0.000000000000000000e+00,6.001449177685199921e+00,1.653043187754654753e-02,9.520674138695014443e-01
